Neighborhood,Name,Category,Hours,Rating,What to Try,Map Link
Shibuya,Beams Men Shibuya,Sight,11:00-20:00,4.4,Curated lifestyle gear,https://maps.google.com/?q=Beams+Shibuya
Daikanyama,Princi,Bakery,08:00-22:00,4.5,Focaccia barese,https://maps.google.com/?q=Princi+Daikanyama
Daikanyama,Maison Ichi,Bakery,08:00-20:00,4.4,Pain au chocolat,https://maps.google.com/?q=Maison+Ichi+Daikanyama
Daikanyama,Bonsai Coffee,Coffee,10:00-18:00,4.3,Hand drip coffee,https://maps.google.com/?q=Bonsai+Coffee+Daikanyama
Daikanyama,Coffee Elementary School,Coffee,11:00-18:00,4.6,Educational tasting flights,https://maps.google.com/?q=Coffee+Elementary+School+Daikanyama
Daikanyama,Globe Specs,Eyewear,11:00-20:00,4.9,Anne et Valentin / Vintage,https://maps.google.com/?q=Globe+Specs+Daikanyama
Daikanyama,T-Site / Tsutaya Books,Sight,07:00-23:00,4.8,Photography books/Design magazines,https://maps.google.com/?q=T-Site+Daikanyama
Daikanyama,A.P.C. Surplus Daikanyama,Sight,12:00-20:00,4.3,Archived French designs,https://maps.google.com/?q=APC+Daikanyama
Nakameguro,Lotus Baguette,Bakery,09:00-19:00,4.3,Natural yeast breads,https://maps.google.com/?q=Lotus+Baguette+Nakameguro
Nakameguro,Boulangerie l'Atelier de Meguro,Bakery,10:00-18:00,4.2,Artisanal loafs,https://maps.google.com/?q=Boulangerie+Atelier+Nakameguro
Nakameguro,Onibus Coffee,Coffee,09:00-18:00,4.6,Espresso by the tracks,https://maps.google.com/?q=Onibus+Coffee+Nakameguro
Nakameguro,Starbucks Reserve Roastery,Coffee,07:00-22:00,4.5,Barrel-aged cold brew,https://maps.google.com/?q=Starbucks+Roastery+Nakameguro
Nakameguro,Sidewalk Stand,Coffee,09:00-21:00,4.4,Hot sandwiches and latte,https://maps.google.com/?q=Sidewalk+Stand+Nakameguro
Nakameguro,Arise Coffee Roasters,Coffee,10:00-18:00,4.6,Roasted beans for home,https://maps.google.com/?q=Arise+Coffee+Nakameguro
Nakameguro,Chora Eyewear,Eyewear,11:00-19:00,4.3,Boutique curated brands,https://maps.google.com/?q=Chora+Eyewear+Nakameguro
Nakameguro,Traveler’s Factory,Sight,12:00-20:00,4.8,Custom notebooks,https://maps.google.com/?q=Travelers+Factory+Nakameguro
Meguro,Poteri Bakery,Bakery,10:00-19:00,4.3,Seasonal fruit pastries,https://maps.google.com/?q=Poteri+Bakery+Meguro
Meguro,Switch Coffee Tokyo,Coffee,10:00-18:00,4.5,Seasonal drip,https://maps.google.com/?q=Switch+Coffee+Meguro
Meguro,Gentle Monster Meguro,Eyewear,11:00-20:00,4.4,Avant-garde designs,https://maps.google.com/?q=Gentle+Monster+Meguro
Meguro,Hotel Claska Gallery,Sight,11:00-19:00,4.6,Japanese lifestyle goods,https://maps.google.com/?q=Hotel+Claska+Meguro
Harajuku,Boul'Ange Harajuku,Bakery,08:00-20:00,4.3,Croissant variations,https://maps.google.com/?q=Boul+Ange+Harajuku
Harajuku,Reissue,Coffee,10:00-19:00,4.5,3D Latte Art,https://maps.google.com/?q=Reissue+Harajuku
Harajuku,Deus Ex Machina,Coffee,09:00-20:00,4.4,Custom roast coffee,https://maps.google.com/?q=Deus+Harajuku
Harajuku,Nikolai Bergmann Nomu,Coffee,10:00-19:00,4.5,Lunch among floral displays,https://maps.google.com/?q=Nikolai+Bergmann+Aoyama
Harajuku,Eyevan Tokyo Heritage,Eyewear,11:00-20:00,4.7,Craftsmanship archive models,https://maps.google.com/?q=Eyevan+Heritage+Harajuku
Harajuku,Gratitude Eyewear,Eyewear,12:00-20:00,4.6,Independent designer brands,https://maps.google.com/?q=Gratitude+Eyewear+Harajuku
Harajuku,Meiji Jingu Shrine,Sight,05:00-18:00,4.8,Forest walk to main shrine,https://maps.google.com/?q=Meiji+Jingu+Shrine
Omotesando,"Bread, Espresso &",Bakery,08:00-19:00,4.4,French toast,https://maps.google.com/?q=Bread+Espresso+Omotesando
Omotesando,Higuma Doughnuts x Coffee Wrights,Bakery,11:00-18:00,4.5,Plain doughnut and flat white,https://maps.google.com/?q=Higuma+Doughnuts+Omotesando
Omotesando,Dominique Ansel Workshop,Bakery,10:00-19:00,4.3,DKA (Dominique's Kouign Amann),https://maps.google.com/?q=Dominique+Ansel+Omotesando
Omotesando,The Little Bakery Tokyo,Bakery,10:00-20:00,4.4,American-style cookies,https://maps.google.com/?q=The+Little+Bakery+Tokyo
Omotesando,SunnyHills,Bakery,11:00-19:00,4.7,Pineapple cake and tea (Kengo Kuma design),https://maps.google.com/?q=SunnyHills+Omotesando
Omotesando,Masunaga 1905,Eyewear,11:00-20:00,4.8,Chord series,https://maps.google.com/?q=Masunaga+1905+Omotesando
Omotesando,Eyevan 7285,Eyewear,11:00-20:00,4.7,Hexagonal frames,https://maps.google.com/?q=Eyevan+7285+Omotesando
Omotesando,Blinc Vase,Eyewear,12:00-20:00,4.5,Curated selection of global eyewear,https://maps.google.com/?q=Blinc+Vase+Omotesando
Omotesando,Bunkaya Zakkaten,Sight,11:00-19:00,4.5,Quirky Japanese souvenirs,https://maps.google.com/?q=Bunkaya+Zakkaten+Omotesando
Omotesando,Taro Okamoto Memorial Museum,Sight,10:00-18:00,4.6,Modern Japanese art,https://maps.google.com/?q=Taro+Okamoto+Museum
Aoyama,Koffee Mameya,Coffee,10:00-18:00,4.8,Bean consultation,https://maps.google.com/?q=Koffee+Mameya+Aoyama
Aoyama,Shozo Coffee Store,Coffee,09:30-18:00,4.5,Scones and iced coffee,https://maps.google.com/?q=Shozo+Coffee+Aoyama
Aoyama,Blue Bottle Aoyama,Coffee,08:00-19:00,4.4,Seasonal pour-over,https://maps.google.com/?q=Blue+Bottle+Aoyama
Aoyama,White Glass Coffee,Coffee,08:00-20:00,4.4,Coffee with chocolate desserts,https://maps.google.com/?q=White+Glass+Coffee+Aoyama
Aoyama,Center for Cosmic Wonder,Sight,11:00-19:00,4.6,Japanese textiles/Art books,https://maps.google.com/?q=Center+for+Cosmic+Wonder+Aoyama
Aoyama,Nezu Museum,Sight,10:00-17:00,4.8,Traditional garden and tea house,https://maps.google.com/?q=Nezu+Museum
Aoyama,Found MUJI Aoyama,Sight,11:00-20:00,4.5,Specialized lifestyle products,https://maps.google.com/?q=Found+MUJI+Aoyama
Aoyama,Spiral Market,Sight,11:00-20:00,4.4,Modern Japanese stationary/gifts,https://maps.google.com/?q=Spiral+Aoyama
Asakusa,Kameju,Bakery,10:00-19:00,4.6,Dorayaki,https://maps.google.com/?q=Kameju+Asakusa
Asakusa,Fuglen Asakusa,Coffee,08:00-22:00,4.5,Norwegian roast,https://maps.google.com/?q=Fuglen+Asakusa
Asakusa,Senso-ji Temple,Sight,06:00-17:00,4.7,Fortune drawing (Omikuji),https://maps.google.com/?q=Sensoji+Temple
Yanaka,Kayaba Coffee,Coffee,08:00-18:00,4.6,Egg sandwich,https://maps.google.com/?q=Kayaba+Coffee
Yanaka,Cibi Tokyo Store,Coffee,08:00-18:00,4.4,Breakfast with espresso,https://maps.google.com/?q=Cibi+Tokyo
Yanaka,Yanaka Ginza,Sight,10:00-18:00,4.5,Traditional street snacks,https://maps.google.com/?q=Yanaka+Ginza
Ueno,Tokyo National Museum,Sight,09:30-17:00,4.7,Japanese archaeology/art,https://maps.google.com/?q=Tokyo+National+Museum
Ueno,Ameya Yokocho,Sight,10:00-20:00,4.3,Street food market,https://maps.google.com/?q=Ameyoko+Market
Gotokuji,Gotokuji Temple,Sight,06:00-17:00,4.6,Maneki-neko (lucky cat) statues,https://maps.google.com/?q=Gotokuji+Temple
Setagaya,Iron Coffee,Coffee,08:30-18:00,4.6,Latte with almond milk,https://maps.google.com/?q=Iron+Coffee+Setagaya
Kichijoji,Boulangerie Le Ressort,Bakery,11:00-19:00,4.5,Pistachio stick,https://maps.google.com/?q=Boulangerie+Le+Ressort
Kichijoji,Light Up Coffee,Coffee,11:00-19:00,4.5,Single-origin flight,https://maps.google.com/?q=Light+Up+Coffee+Kichijoji
Kichijoji,Ghibli Museum,Sight,10:00-18:00,4.9,Film animation secrets,https://maps.google.com/?q=Ghibli+Museum
Kichijoji,Inokashira Park,Sight,24:00-24:00,4.6,Boat rides on the pond,https://maps.google.com/?q=Inokashira+Park
